cancer,feature_internal,feature_display,beta,pathways,variant_types,logic,gene,n_altered_train,freq_train,univ_HR,univ_p,abs_logHR,contribution,rank_in_feature
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),INPP4B,137,0.0299,0.964,0.7460130165814207,0.0363,0.0011,108.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),NOTCH4,182,0.0397,1.029,0.7693693425335661,0.0286,0.0011,108.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),POLD1,63,0.0137,1.087,0.6065044732151895,0.0833,0.0011,108.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),RAD51C,27,0.0059,1.214,0.3976291249632474,0.1938,0.0011,108.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),FLT3,82,0.0179,1.055,0.6994293770442854,0.0532,0.001,112.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),MSH3,40,0.0087,0.895,0.6267711007180571,0.1107,0.001,112.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),SUZ12,32,0.007,1.159,0.5142609205964436,0.1474,0.001,112.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),ASXL1,93,0.0203,1.045,0.7421716073379651,0.0441,0.0009,115.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),E2F3,37,0.0081,1.119,0.5882462877850994,0.1127,0.0009,115.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),HRAS,16,0.0035,1.303,0.3998008962212296,0.2645,0.0009,115.0
